time,cwnd
53.9458,4.5
53.9458,4.75
53.9546,5
53.9547,5.2
53.9677,5.4
54.9683,1
54.9942,2
55.9952,1
56.0055,2
56.0121,2.5
56.0142,3
56.0161,3.33333
56.0178,3.66667
56.0185,4
56.0186,4.25
56.0206,4.5
56.022,4.75
56.0221,5
56.0361,5.2
56.0361,5.4
57.0429,1
57.1163,2
57.1264,2.5
57.1265,3
57.1366,3.33333
57.1367,3.66667
57.1368,4
58.1383,1
58.143,2
58.1453,2.5
59.1857,1
59.1904,2
59.1923,2.5
59.1956,3
59.1983,3.33333
59.1983,3.66667
59.2004,4
59.2021,4.25
59.2059,4.5
59.206,4.75
59.2086,5
59.2086,5.2
59.2087,5.4
59.2117,5.6
59.2118,5.8
59.2145,6
59.2145,6.16667
59.2205,6.33333
59.2206,6.5
59.2206,6.66667
59.2206,6.83333
59.2335,7
59.2335,7.14286
59.2335,7.28571
59.2335,7.42857
59.2336,7.57143
59.2336,7.71429
59.2477,7.85714
59.2477,8
59.2515,8.125
59.2515,8.25
59.2707,8.375
59.2708,8.5
59.2708,8.625
59.2708,8.75
59.2709,8.875
59.2709,9
59.2709,9.11111
59.2709,9.22222
59.2751,9.33333
59.2773,9.44444
59.2774,9.55556
60.2789,1
60.294,2
60.3012,3
60.3013,4
60.3092,4.25
60.3234,4.5
60.3559,4.75
60.356,5
60.356,5.2
60.356,5.4
60.3593,5.6
60.3594,5.8
60.3594,6
60.3594,6.16667
60.364,6.33333
60.37,6.5
60.37,6.66667
60.37,6.83333
60.37,7
60.3701,7.14286
60.372,7.28571
60.3739,7.42857
60.374,7.57143
60.3797,7.71429
60.3798,7.85714
60.3798,8
60.3824,8.125
60.3824,8.25
60.3824,8.375
60.3824,8.5
60.3825,8.625
60.3825,8.75
60.3856,8.875
60.3857,9
60.3877,9.11111
60.3895,9.22222
60.3896,9.33333
60.3959,9.44444
60.4181,9.55556
60.4181,9.66667
60.4181,9.77778
60.4181,9.88889
60.4182,10
60.4182,10.1
60.4182,10.2
60.4182,10.3
60.4182,10.4
60.4277,10.5
60.4278,10.6
60.4278,10.7
60.4278,10.8
60.4278,10.9
60.4308,11
60.4309,11.1
60.4309,11.1909
60.4327,11.2818
60.4328,11.3727
60.4477,11.4636
60.4477,11.5545
60.4477,11.6455
60.4477,11.7364
60.4477,11.8273
60.4478,11.9182
60.4478,12.0091
60.4478,12.0924
60.4514,12.1758
60.4514,12.2591
60.4514,12.3424
60.4514,12.4258
60.4514,12.5091
60.4514,12.5924
60.4514,12.6758
60.4542,12.7591
60.4542,12.8424
60.4542,12.9258
60.4542,13.0091
